"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the pre-upgrade check fails if there is a problem with one of the shards.","90713","test_pre_upgrade_check_failure","tests.integration.upgrade","Sat Mar 22 01:57:15 UTC 2025","passed","Sat Mar 22 01:58:46 UTC 2025","","test_sharding_upgrade","",""
"Tests that mongodb is running as a replica set for the application unit.","30","test_unit_is_running_as_replica_set[0]","tests.integration","Sat Mar 22 01:45:14 UTC 2025","passed","Sat Mar 22 01:45:14 UTC 2025","","test_charm","",""
"Build and deploy one unit of MongoDB.","280770","test_build_and_deploy","tests.integration.ha_tests","Sat Mar 22 01:30:16 UTC 2025","passed","Sat Mar 22 01:34:57 UTC 2025","","test_ha","",""
"Verifies that using a replica as a config-server fails.","0","test_replication_shard_relation","tests.integration.sharding_tests","Sat Mar 22 01:30:09 UTC 2025","skipped","Sat Mar 22 01:30:09 UTC 2025","","test_sharding_relations","",""
"","98320","test_restart_db_process","tests.integration.ha_tests","Sat Mar 22 01:58:28 UTC 2025","passed","Sat Mar 22 02:00:06 UTC 2025","","test_ha","",""
"Verify that the sharded cluster can be safely upgraded without losing writes.","743042","test_upgrade","tests.integration.upgrade","Sat Mar 22 01:44:43 UTC 2025","passed","Sat Mar 22 01:57:06 UTC 2025","","test_sharding_upgrade","",""
"Verify that a config-server and shard can safely rollback without losing writes.","469701","test_rollback_on_shard_and_config_server","tests.integration.upgrade","Sat Mar 22 01:48:39 UTC 2025","passed","Sat Mar 22 01:56:28 UTC 2025","","test_sharding_rollback","",""
"","656213","test_restore_new_cluster[AWS]","tests.integration.backup_tests","Sat Mar 22 02:03:40 UTC 2025","passed","Sat Mar 22 02:14:36 UTC 2025","","test_backups","",""
"Tests that action set-password outputs resets the password on app data and mongod.","22634","test_set_password_action","tests.integration","Sat Mar 22 01:45:37 UTC 2025","passed","Sat Mar 22 01:46:00 UTC 2025","","test_charm","",""
"Build and deploy a sharded cluster.","390175","test_build_and_deploy","tests.integration.sharding_tests","Sat Mar 22 01:29:39 UTC 2025","passed","Sat Mar 22 01:36:09 UTC 2025","","test_sharding","",""
"Test that the password can't be set to an empty string.","6289","test_empty_password","tests.integration","Sat Mar 22 01:46:35 UTC 2025","passed","Sat Mar 22 01:46:41 UTC 2025","","test_charm","",""
"Tests the immediate integration of cluster components works without error.","625506","test_immediate_relate","tests.integration.sharding_tests","Sat Mar 22 01:30:52 UTC 2025","passed","Sat Mar 22 01:41:17 UTC 2025","","test_sharding_race_conds","",""
"Tests that sharded cluster can be configured for s3 configurations.","292971","test_set_credentials_in_cluster","tests.integration.sharding_tests","Sat Mar 22 01:34:45 UTC 2025","passed","Sat Mar 22 01:39:38 UTC 2025","","test_sharding_backups","",""
